"ChEMBL ID"	"Name"	"UniProt Accessions"	"Type"	"Organism"	"Compounds"	"Activities"	"Tax ID"	"Species Group Flag"
"CHEMBL4296118"	"Androgen receptor/Baculoviral IAP repeat-containing protein 2"	"P10275|Q13490"	"PROTEIN-PROTEIN INTERACTION"	"Homo sapiens"	"20"	"32"	"9606"	"False"
"CHEMBL5169084"	"CRBN/CUL4A/AR"	"P10275|Q96SW2|Q13619"	"PROTEIN-PROTEIN INTERACTION"	"Homo sapiens"	"2"	"4"	"9606"	"False"
"CHEMBL2096976"	"Peroxisome proliferator-activated receptor gamma/Nuclear receptor corepressor 2"	"P37231|Q9Y618"	"PROTEIN-PROTEIN INTERACTION"	"Homo sapiens"	"239"	"239"	"9606"	"False"
"CHEMBL2111462"	"Thyroid hormone receptor"	"P10827|P10828"	"PROTEIN COMPLEX"	"Homo sapiens"	"127"	"146"	"9606"	"False"
"CHEMBL3751"	"Estrogen-related receptor beta"	"O95718"	"SINGLE PROTEIN"	"Homo sapiens"	"150"	"173"	"9606"	"False"
"CHEMBL3979"	"Peroxisome proliferator-activated receptor delta"	"Q03181"	"SINGLE PROTEIN"	"Homo sapiens"	"3777"	"6483"	"9606"	"False"
"CHEMBL239"	"Peroxisome proliferator-activated receptor alpha"	"Q07869"	"SINGLE PROTEIN"	"Homo sapiens"	"4932"	"9465"	"9606"	"False"
"CHEMBL1977"	"Vitamin D receptor"	"P11473"	"SINGLE PROTEIN"	"Homo sapiens"	"21772"	"26593"	"9606"	"False"
"CHEMBL3706564"	"Liver X receptor"	"Q13133|P55055"	"PROTEIN FAMILY"	"Homo sapiens"	"124"	"311"	"9606"	"False"
"CHEMBL2003"	"Retinoic acid receptor gamma"	"P13631"	"SINGLE PROTEIN"	"Homo sapiens"	"653"	"1164"	"9606"	"False"
"CHEMBL3885633"	"Retinoic acid receptor RXR-alpha/gamma"	"P13631|P19793"	"PROTEIN COMPLEX"	"Homo sapiens"	"11"	"11"	"9606"	"False"
"CHEMBL4523726"	"VHL/Estrogen receptor"	"P03372|P40337"	"PROTEIN-PROTEIN INTERACTION"	"Homo sapiens"	"34"	"96"	"9606"	"False"
"CHEMBL4523681"	"Protein cereblon/Estrogen receptor"	"P03372|Q96SW2"	"PROTEIN-PROTEIN INTERACTION"	"Homo sapiens"	"72"	"142"	"9606"	"False"
"CHEMBL3706565"	"Liver X receptor (LXR alpha AND LXR beta)"	"Q13133|P55055"	"SELECTIVITY GROUP"	"Homo sapiens"	"107"	"115"	"9606"	"False"
"CHEMBL2095161"	"Peroxisome proliferator-activated receptor gamma/Nuclear receptor coactivator 3"	"P37231|Q9Y6Q9"	"PROTEIN-PROTEIN INTERACTION"	"Homo sapiens"	"749"	"749"	"9606"	"False"
"CHEMBL2095163"	"Peroxisome proliferator-activated receptor gamma/Nuclear receptor coactivator 2"	"P37231|Q15596"	"PROTEIN-PROTEIN INTERACTION"	"Homo sapiens"	"749"	"749"	"9606"	"False"
"CHEMBL2047"	"Bile acid receptor FXR"	"Q96RI1"	"SINGLE PROTEIN"	"Homo sapiens"	"2889"	"6633"	"9606"	"False"
"CHEMBL1961790"	"COUP transcription factor 2"	"P24468"	"SINGLE PROTEIN"	"Homo sapiens"	"234"	"234"	"9606"	"False"
"CHEMBL5603"	"Nuclear receptor subfamily 0 group B member 2"	"Q15466"	"SINGLE PROTEIN"	"Homo sapiens"	"18"	"24"	"9606"	"False"
"CHEMBL4666"	"Steroidogenic factor 1"	"Q13285"	"SINGLE PROTEIN"	"Homo sapiens"	"344"	"402"	"9606"	"False"
"CHEMBL3401"	"Pregnane X receptor"	"O75469"	"SINGLE PROTEIN"	"Homo sapiens"	"3548"	"6901"	"9606"	"False"
"CHEMBL2363070"	"Retinoid X receptor"	"P28702|P48443|P19793"	"PROTEIN FAMILY"	"Homo sapiens"	"51"	"115"	"9606"	"False"
"CHEMBL3559683"	"Peroxisome proliferator-activated receptor"	"P37231|Q07869|Q03181"	"PROTEIN FAMILY"	"Homo sapiens"	"85"	"137"	"9606"	"False"
"CHEMBL2093866"	"Estrogen receptor"	"Q92731|P03372"	"PROTEIN FAMILY"	"Homo sapiens"	"1789"	"3070"	"9606"	"False"
"CHEMBL206"	"Estrogen receptor alpha"	"P03372"	"SINGLE PROTEIN"	"Homo sapiens"	"9170"	"18287"	"9606"	"False"
"CHEMBL4093"	"LXR-beta"	"P55055"	"SINGLE PROTEIN"	"Homo sapiens"	"2134"	"3883"	"9606"	"False"
"CHEMBL2363069"	"Retinoic acid receptor"	"P13631|P10826|P10276"	"PROTEIN FAMILY"	"Homo sapiens"	"29"	"39"	"9606"	"False"
"CHEMBL242"	"Estrogen receptor beta"	"Q92731"	"SINGLE PROTEIN"	"Homo sapiens"	"5110"	"9511"	"9606"	"False"
"CHEMBL2055"	"Retinoic acid receptor alpha"	"P10276"	"SINGLE PROTEIN"	"Homo sapiens"	"696"	"1345"	"9606"	"False"
"CHEMBL1947"	"Thyroid hormone receptor beta-1"	"P10828"	"SINGLE PROTEIN"	"Homo sapiens"	"6356"	"7937"	"9606"	"False"
"CHEMBL208"	"Progesterone receptor"	"P06401"	"SINGLE PROTEIN"	"Homo sapiens"	"4633"	"8589"	"9606"	"False"
