GENE PRODUCT DB	GENE PRODUCT ID	GO TERM	GO NAME	GO ASPECT
UniProtKB	O00329	GO:0010628	positive regulation of gene expression	P
UniProtKB	O00329	GO:0010818	T cell chemotaxis	P
UniProtKB	O00329	GO:0030101	natural killer cell activation	P
UniProtKB	O00329	GO:0030183	B cell differentiation	P
UniProtKB	O00329	GO:0030217	T cell differentiation	P
UniProtKB	O00329	GO:0030217	T cell differentiation	P
UniProtKB	O00329	GO:0030335	positive regulation of cell migration	P
UniProtKB	O00329	GO:0030593	neutrophil chemotaxis	P
UniProtKB	O00329	GO:0033031	positive regulation of neutrophil apoptotic process	P
UniProtKB	O00329	GO:0035747	natural killer cell chemotaxis	P
UniProtKB	O00329	GO:0035754	B cell chemotaxis	P
UniProtKB	O00329	GO:0036092	phosphatidylinositol-3-phosphate biosynthetic process	P
UniProtKB	O00329	GO:0038084	vascular endothelial growth factor signaling pathway	P
UniProtKB	O00329	GO:0042110	T cell activation	P
UniProtKB	O00329	GO:0042113	B cell activation	P
UniProtKB	O00329	GO:0043303	mast cell degranulation	P
UniProtKB	O00329	GO:0043491	phosphatidylinositol 3-kinase/protein kinase B signal transduction	P
UniProtKB	O00329	GO:0043491	phosphatidylinositol 3-kinase/protein kinase B signal transduction	P
UniProtKB	O00329	GO:0043491	phosphatidylinositol 3-kinase/protein kinase B signal transduction	P
UniProtKB	O00329	GO:0043491	phosphatidylinositol 3-kinase/protein kinase B signal transduction	P
UniProtKB	O00329	GO:0045087	innate immune response	P
UniProtKB	O00329	GO:0045087	innate immune response	P
UniProtKB	O00329	GO:0045766	positive regulation of angiogenesis	P
UniProtKB	O00329	GO:0048015	phosphatidylinositol-mediated signaling	P
UniProtKB	O00329	GO:0050852	T cell receptor signaling pathway	P
UniProtKB	O00329	GO:0050853	B cell receptor signaling pathway	P
UniProtKB	O00329	GO:0060374	mast cell differentiation	P
UniProtKB	O00329	GO:0072672	neutrophil extravasation	P
UniProtKB	O00329	GO:1905278	positive regulation of epithelial tube formation	P
UniProtKB	O00418	GO:0006414	translational elongation	P
UniProtKB	O00418	GO:0031037	myosin II filament disassembly	P
UniProtKB	O00418	GO:0046777	protein autophosphorylation	P
UniProtKB	O00418	GO:0046777	protein autophosphorylation	P
UniProtKB	O00444	GO:0046601	positive regulation of centriole replication	P
UniProtKB	O00444	GO:0006468	protein phosphorylation	P
UniProtKB	O00444	GO:0006468	protein phosphorylation	P
UniProtKB	O00444	GO:0006468	protein phosphorylation	P
UniProtKB	O00444	GO:0007099	centriole replication	P
UniProtKB	O00444	GO:0007099	centriole replication	P
UniProtKB	O00444	GO:0007099	centriole replication	P
UniProtKB	O00444	GO:0007099	centriole replication	P
UniProtKB	O00444	GO:0007099	centriole replication	P
UniProtKB	O00444	GO:0046601	positive regulation of centriole replication	P
UniProtKB	O00444	GO:0046601	positive regulation of centriole replication	P
UniProtKB	O00444	GO:0046601	positive regulation of centriole replication	P
UniProtKB	O00444	GO:0060271	cilium assembly	P
UniProtKB	O00444	GO:0060707	trophoblast giant cell differentiation	P
UniProtKB	O00444	GO:0098535	de novo centriole assembly involved in multi-ciliated epithelial cell differentiation	P
UniProtKB	O14757	GO:0000077	DNA damage checkpoint signaling	P
UniProtKB	O14757	GO:0000077	DNA damage checkpoint signaling	P
UniProtKB	O14757	GO:0006260	DNA replication	P
UniProtKB	O14757	GO:0006281	DNA repair	P
UniProtKB	O14757	GO:0006338	chromatin remodeling	P
UniProtKB	O14757	GO:0006468	protein phosphorylation	P
UniProtKB	O14757	GO:0006915	apoptotic process	P
UniProtKB	O14757	GO:0006974	DNA damage response	P
UniProtKB	O14757	GO:0006974	DNA damage response	P
UniProtKB	O14757	GO:0007095	mitotic G2 DNA damage checkpoint signaling	P
UniProtKB	O14757	GO:0010569	regulation of double-strand break repair via homologous recombination	P
UniProtKB	O14757	GO:0018107	peptidyl-threonine phosphorylation	P
UniProtKB	O14757	GO:0042770	signal transduction in response to DNA damage	P
UniProtKB	O14757	GO:0044818	mitotic G2/M transition checkpoint	P
UniProtKB	O14757	GO:0044818	mitotic G2/M transition checkpoint	P
UniProtKB	O14757	GO:0045787	positive regulation of cell cycle	P
UniProtKB	O14757	GO:0045814	negative regulation of gene expression, epigenetic	P
UniProtKB	O14757	GO:0045839	negative regulation of mitotic nuclear division	P
UniProtKB	O14757	GO:0046602	regulation of mitotic centrosome separation	P
UniProtKB	O14757	GO:0070317	negative regulation of G0 to G1 transition	P
UniProtKB	O14757	GO:0071260	cellular response to mechanical stimulus	P
UniProtKB	O14757	GO:0090399	replicative senescence	P
UniProtKB	O14757	GO:1901796	regulation of signal transduction by p53 class mediator	P
UniProtKB	O14920	GO:0051092	positive regulation of NF-kappaB transcription factor activity	P
UniProtKB	O14920	GO:0002223	stimulatory C-type lectin receptor signaling pathway	P
UniProtKB	O14920	GO:0002479	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent	P
UniProtKB	O14920	GO:0002755	MyD88-dependent toll-like receptor signaling pathway	P
UniProtKB	O14920	GO:0002755	MyD88-dependent toll-like receptor signaling pathway	P
UniProtKB	O14920	GO:0006468	protein phosphorylation	P
UniProtKB	O14920	GO:0006468	protein phosphorylation	P
UniProtKB	O14920	GO:0006468	protein phosphorylation	P
UniProtKB	O14920	GO:0006954	inflammatory response	P
UniProtKB	O14920	GO:0007249	canonical NF-kappaB signal transduction	P
UniProtKB	O14920	GO:0007249	canonical NF-kappaB signal transduction	P
UniProtKB	O14920	GO:0007249	canonical NF-kappaB signal transduction	P
UniProtKB	O14920	GO:0007249	canonical NF-kappaB signal transduction	P
UniProtKB	O14920	GO:0007249	canonical NF-kappaB signal transduction	P
UniProtKB	O14920	GO:0009615	response to virus	P
UniProtKB	O14920	GO:0010803	regulation of tumor necrosis factor-mediated signaling pathway	P
UniProtKB	O14920	GO:0018105	peptidyl-serine phosphorylation	P
UniProtKB	O14920	GO:0018105	peptidyl-serine phosphorylation	P
UniProtKB	O14920	GO:0030866	cortical actin cytoskeleton organization	P
UniProtKB	O14920	GO:0033209	tumor necrosis factor-mediated signaling pathway	P
UniProtKB	O14920	GO:0033209	tumor necrosis factor-mediated signaling pathway	P
UniProtKB	O14920	GO:0033209	tumor necrosis factor-mediated signaling pathway	P
UniProtKB	O14920	GO:0033209	tumor necrosis factor-mediated signaling pathway	P
UniProtKB	O14920	GO:0034138	toll-like receptor 3 signaling pathway	P
UniProtKB	O14920	GO:0035509	negative regulation of myosin-light-chain-phosphatase activity	P
UniProtKB	O14920	GO:0035666	TRIF-dependent toll-like receptor signaling pathway	P
UniProtKB	O14920	GO:0038095	Fc-epsilon receptor signaling pathway	P
UniProtKB	O14920	GO:0042325	regulation of phosphorylation	P
UniProtKB	O14920	GO:0043123	positive regulation of canonical NF-kappaB signal transduction	P
UniProtKB	O14920	GO:0043123	positive regulation of canonical NF-kappaB signal transduction	P
UniProtKB	O14920	GO:0043123	positive regulation of canonical NF-kappaB signal transduction	P
UniProtKB	O14920	GO:0045087	innate immune response	P
UniProtKB	O14920	GO:0045893	positive regulation of DNA-templated transcription	P
UniProtKB	O14920	GO:0045893	positive regulation of DNA-templated transcription	P
UniProtKB	O14920	GO:0045893	positive regulation of DNA-templated transcription	P
UniProtKB	O14920	GO:0045944	positive regulation of transcription by RNA polymerase II	P
UniProtKB	O14920	GO:0045944	positive regulation of transcription by RNA polymerase II	P
UniProtKB	O14920	GO:0045944	positive regulation of transcription by RNA polymerase II	P
UniProtKB	O14920	GO:0050852	T cell receptor signaling pathway	P
UniProtKB	O14920	GO:0051092	positive regulation of NF-kappaB transcription factor activity	P
UniProtKB	O14920	GO:0051403	stress-activated MAPK cascade	P
UniProtKB	O14920	GO:0051604	protein maturation	P
UniProtKB	O14920	GO:0070498	interleukin-1-mediated signaling pathway	P
UniProtKB	O14920	GO:0070498	interleukin-1-mediated signaling pathway	P
UniProtKB	O14920	GO:0071356	cellular response to tumor necrosis factor	P
UniProtKB	O14920	GO:0072659	protein localization to plasma membrane	P
UniProtKB	O14920	GO:1903140	regulation of establishment of endothelial barrier	P
UniProtKB	O14920	GO:1903347	negative regulation of bicellular tight junction assembly	P
UniProtKB	O14965	GO:0006468	protein phosphorylation	P
UniProtKB	O14965	GO:0009611	response to wounding	P
UniProtKB	O14965	GO:0097421	liver regeneration	P
UniProtKB	O14965	GO:0000086	G2/M transition of mitotic cell cycle	P
UniProtKB	O14965	GO:0000278	mitotic cell cycle	P
UniProtKB	O14965	GO:0006468	protein phosphorylation	P
UniProtKB	O14965	GO:0006468	protein phosphorylation	P
UniProtKB	O14965	GO:0007051	spindle organization	P
UniProtKB	O14965	GO:0007052	mitotic spindle organization	P
UniProtKB	O14965	GO:0010389	regulation of G2/M transition of mitotic cell cycle	P
UniProtKB	O14965	GO:0010629	negative regulation of gene expression	P
UniProtKB	O14965	GO:0018105	peptidyl-serine phosphorylation	P
UniProtKB	O14965	GO:0031647	regulation of protein stability	P
UniProtKB	O14965	GO:0032091	negative regulation of protein binding	P
UniProtKB	O14965	GO:0032465	regulation of cytokinesis	P
UniProtKB	O14965	GO:0045840	positive regulation of mitotic nuclear division	P
UniProtKB	O14965	GO:0045931	positive regulation of mitotic cell cycle	P
UniProtKB	O14965	GO:0046605	regulation of centrosome cycle	P
UniProtKB	O14965	GO:0046777	protein autophosphorylation	P
UniProtKB	O14965	GO:0061523	cilium disassembly	P
UniProtKB	O14965	GO:0090141	positive regulation of mitochondrial fission	P
UniProtKB	O14965	GO:1901796	regulation of signal transduction by p53 class mediator	P
UniProtKB	O15075	GO:0006468	protein phosphorylation	P
UniProtKB	O15075	GO:0007399	nervous system development	P
UniProtKB	O15075	GO:0007417	central nervous system development	P
UniProtKB	O15075	GO:0009615	response to virus	P
UniProtKB	O15075	GO:0016197	endosomal transport	P
UniProtKB	O15075	GO:0048812	neuron projection morphogenesis	P
UniProtKB	O15111	GO:0006468	protein phosphorylation	P
UniProtKB	O15111	GO:0006468	protein phosphorylation	P
UniProtKB	O15111	GO:0006954	inflammatory response	P
UniProtKB	O15111	GO:0006955	immune response	P
UniProtKB	O15111	GO:0007249	canonical NF-kappaB signal transduction	P
UniProtKB	O15111	GO:0007249	canonical NF-kappaB signal transduction	P
UniProtKB	O15111	GO:0007249	canonical NF-kappaB signal transduction	P
UniProtKB	O15111	GO:0007249	canonical NF-kappaB signal transduction	P
UniProtKB	O15111	GO:0007249	canonical NF-kappaB signal transduction	P
UniProtKB	O15111	GO:0007249	canonical NF-kappaB signal transduction	P
UniProtKB	O15111	GO:0007252	I-kappaB phosphorylation	P
UniProtKB	O15111	GO:0009615	response to virus	P
UniProtKB	O15111	GO:0009653	anatomical structure morphogenesis	P
UniProtKB	O15111	GO:0032088	negative regulation of NF-kappaB transcription factor activity	P
UniProtKB	O15111	GO:0032727	positive regulation of interferon-alpha production	P
UniProtKB	O15111	GO:0033209	tumor necrosis factor-mediated signaling pathway	P
UniProtKB	O15111	GO:0033209	tumor necrosis factor-mediated signaling pathway	P
UniProtKB	O15111	GO:0034142	toll-like receptor 4 signaling pathway	P
UniProtKB	O15111	GO:0034614	cellular response to reactive oxygen species	P
UniProtKB	O15111	GO:0038061	non-canonical NF-kappaB signal transduction	P
UniProtKB	O15111	GO:0038061	non-canonical NF-kappaB signal transduction	P
UniProtKB	O15111	GO:0043123	positive regulation of canonical NF-kappaB signal transduction	P
UniProtKB	O15111	GO:0043123	positive regulation of canonical NF-kappaB signal transduction	P
UniProtKB	O15111	GO:0045087	innate immune response	P
UniProtKB	O15111	GO:0045893	positive regulation of DNA-templated transcription	P
UniProtKB	O15111	GO:0045944	positive regulation of transcription by RNA polymerase II	P
UniProtKB	O15111	GO:0045944	positive regulation of transcription by RNA polymerase II	P
UniProtKB	O15111	GO:0051092	positive regulation of NF-kappaB transcription factor activity	P
UniProtKB	O15111	GO:0071276	cellular response to cadmium ion	P
UniProtKB	O15111	GO:0071356	cellular response to tumor necrosis factor	P
UniProtKB	O15111	GO:0098586	cellular response to virus	P
UniProtKB	O15264	GO:0006970	response to osmotic stress	P
UniProtKB	O15264	GO:0018105	peptidyl-serine phosphorylation	P
UniProtKB	O15264	GO:0032755	positive regulation of interleukin-6 production	P
UniProtKB	O15264	GO:0034644	cellular response to UV	P
UniProtKB	O15264	GO:0035556	intracellular signal transduction	P
UniProtKB	O15264	GO:0050729	positive regulation of inflammatory response	P
UniProtKB	O15264	GO:0051403	stress-activated MAPK cascade	P
UniProtKB	O15264	GO:0070301	cellular response to hydrogen peroxide	P
UniProtKB	O15264	GO:0071347	cellular response to interleukin-1	P
UniProtKB	O15264	GO:0072709	cellular response to sorbitol	P
UniProtKB	O15264	GO:0072740	cellular response to anisomycin	P
UniProtKB	O15264	GO:1903936	cellular response to sodium arsenite	P
UniProtKB	O15530	GO:0035556	intracellular signal transduction	P
UniProtKB	O15530	GO:0006468	protein phosphorylation	P
UniProtKB	O15530	GO:0006469	negative regulation of protein kinase activity	P
UniProtKB	O15530	GO:0007173	epidermal growth factor receptor signaling pathway	P
UniProtKB	O15530	GO:0010518	positive regulation of phospholipase activity	P
UniProtKB	O15530	GO:0016477	cell migration	P
UniProtKB	O15530	GO:0018107	peptidyl-threonine phosphorylation	P
UniProtKB	O15530	GO:0019722	calcium-mediated signaling	P
UniProtKB	O15530	GO:0030036	actin cytoskeleton organization	P
UniProtKB	O15530	GO:0030512	negative regulation of transforming growth factor beta receptor signaling pathway	P
UniProtKB	O15530	GO:0031295	T cell costimulation	P
UniProtKB	O15530	GO:0032148	activation of protein kinase B activity	P
UniProtKB	O15530	GO:0032869	cellular response to insulin stimulus	P
UniProtKB	O15530	GO:0035556	intracellular signal transduction	P
UniProtKB	O15530	GO:0043122	regulation of canonical NF-kappaB signal transduction	P
UniProtKB	O15530	GO:0043536	positive regulation of blood vessel endothelial cell migration	P
UniProtKB	O15530	GO:0045766	positive regulation of angiogenesis	P
UniProtKB	O15530	GO:0046777	protein autophosphorylation	P
UniProtKB	O15530	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	P
UniProtKB	O15530	GO:0051897	positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	P
UniProtKB	O15530	GO:0071364	cellular response to epidermal growth factor stimulus	P
UniProtKB	O15530	GO:0097191	extrinsic apoptotic signaling pathway	P
UniProtKB	O15530	GO:1903078	positive regulation of protein localization to plasma membrane	P
UniProtKB	O15530	GO:1903672	positive regulation of sprouting angiogenesis	P
UniProtKB	O15530	GO:1905564	positive regulation of vascular endothelial cell proliferation	P
UniProtKB	O15530	GO:2000352	negative regulation of endothelial cell apoptotic process	P
UniProtKB	O43293	GO:0006355	regulation of DNA-templated transcription	P
UniProtKB	O43293	GO:0006468	protein phosphorylation	P
UniProtKB	O43293	GO:0006915	apoptotic process	P
UniProtKB	O43293	GO:0006915	apoptotic process	P
UniProtKB	O43293	GO:0006940	regulation of smooth muscle contraction	P
UniProtKB	O43293	GO:0007088	regulation of mitotic nuclear division	P
UniProtKB	O43293	GO:0007346	regulation of mitotic cell cycle	P
UniProtKB	O43293	GO:0010506	regulation of autophagy	P
UniProtKB	O43293	GO:0017148	negative regulation of translation	P
UniProtKB	O43293	GO:0032956	regulation of actin cytoskeleton organization	P
UniProtKB	O43293	GO:0032956	regulation of actin cytoskeleton organization	P
UniProtKB	O43293	GO:0035556	intracellular signal transduction	P
UniProtKB	O43293	GO:0035556	intracellular signal transduction	P
UniProtKB	O43293	GO:0042981	regulation of apoptotic process	P
UniProtKB	O43293	GO:0043065	positive regulation of apoptotic process	P
UniProtKB	O43293	GO:0043065	positive regulation of apoptotic process	P
UniProtKB	O43293	GO:0046777	protein autophosphorylation	P
UniProtKB	O43293	GO:0046777	protein autophosphorylation	P
UniProtKB	O43293	GO:0051893	regulation of focal adhesion assembly	P
UniProtKB	O43293	GO:0071346	cellular response to type II interferon	P
UniProtKB	O43293	GO:0090263	positive regulation of canonical Wnt signaling pathway	P
UniProtKB	O43293	GO:2000145	regulation of cell motility	P
UniProtKB	O43741	GO:0007165	signal transduction	P
UniProtKB	O43741	GO:0007165	signal transduction	P
UniProtKB	O43741	GO:0031669	cellular response to nutrient levels	P
UniProtKB	O43741	GO:0031669	cellular response to nutrient levels	P
UniProtKB	O43741	GO:0120162	positive regulation of cold-induced thermogenesis	P
UniProtKB	O43781	GO:0006468	protein phosphorylation	P
UniProtKB	O43781	GO:0006468	protein phosphorylation	P
UniProtKB	O43781	GO:0006468	protein phosphorylation	P
UniProtKB	O43781	GO:0006468	protein phosphorylation	P
UniProtKB	O43781	GO:0030218	erythrocyte differentiation	P
UniProtKB	O43781	GO:0035063	nuclear speck organization	P
UniProtKB	O43781	GO:0035617	stress granule disassembly	P
UniProtKB	O43781	GO:0035617	stress granule disassembly	P
UniProtKB	O43781	GO:0035617	stress granule disassembly	P
UniProtKB	O43781	GO:0080135	regulation of cellular response to stress	P
UniProtKB	O43781	GO:1902751	positive regulation of cell cycle G2/M phase transition	P
UniProtKB	O43781	GO:1902751	positive regulation of cell cycle G2/M phase transition	P
UniProtKB	O43781	GO:1903008	organelle disassembly	P
UniProtKB	O43781	GO:1903432	regulation of TORC1 signaling	P
UniProtKB	O60285	GO:0006468	protein phosphorylation	P
UniProtKB	O60285	GO:0030155	regulation of cell adhesion	P
UniProtKB	O60285	GO:0035507	regulation of myosin-light-chain-phosphatase activity	P
UniProtKB	O60285	GO:0042127	regulation of cell population proliferation	P
UniProtKB	O60285	GO:1901796	regulation of signal transduction by p53 class mediator	P
UniProtKB	O60285	GO:2000772	regulation of cellular senescence	P
UniProtKB	O60674	GO:1901731	positive regulation of platelet aggregation	P
UniProtKB	O60674	GO:0010572	positive regulation of platelet activation	P
UniProtKB	O60674	GO:0046677	response to antibiotic	P
UniProtKB	O60674	GO:0060391	positive regulation of SMAD protein signal transduction	P
UniProtKB	O60674	GO:0001774	microglial cell activation	P
UniProtKB	O60674	GO:0006468	protein phosphorylation	P
UniProtKB	O60674	GO:0006915	apoptotic process	P
UniProtKB	O60674	GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process	P
UniProtKB	O60674	GO:0006955	immune response	P
UniProtKB	O60674	GO:0007165	signal transduction	P
UniProtKB	O60674	GO:0007167	enzyme-linked receptor protein signaling pathway	P
UniProtKB	O60674	GO:0007259	cell surface receptor signaling pathway via JAK-STAT	P
UniProtKB	O60674	GO:0007259	cell surface receptor signaling pathway via JAK-STAT	P
UniProtKB	O60674	GO:0007259	cell surface receptor signaling pathway via JAK-STAT	P
UniProtKB	O60674	GO:0007259	cell surface receptor signaling pathway via JAK-STAT	P
UniProtKB	O60674	GO:0007259	cell surface receptor signaling pathway via JAK-STAT	P
UniProtKB	O60674	GO:0007259	cell surface receptor signaling pathway via JAK-STAT	P
UniProtKB	O60674	GO:0007260	tyrosine phosphorylation of STAT protein	P
UniProtKB	O60674	GO:0007498	mesoderm development	P
UniProtKB	O60674	GO:0008285	negative regulation of cell population proliferation	P
UniProtKB	O60674	GO:0010811	positive regulation of cell-substrate adhesion	P
UniProtKB	O60674	GO:0018108	peptidyl-tyrosine phosphorylation	P
UniProtKB	O60674	GO:0019221	cytokine-mediated signaling pathway	P
UniProtKB	O60674	GO:0019221	cytokine-mediated signaling pathway	P
UniProtKB	O60674	GO:0019221	cytokine-mediated signaling pathway	P
UniProtKB	O60674	GO:0019221	cytokine-mediated signaling pathway	P
UniProtKB	O60674	GO:0019221	cytokine-mediated signaling pathway	P
UniProtKB	O60674	GO:0019221	cytokine-mediated signaling pathway	P
UniProtKB	O60674	GO:0030041	actin filament polymerization	P
UniProtKB	O60674	GO:0030154	cell differentiation	P
UniProtKB	O60674	GO:0030218	erythrocyte differentiation	P
UniProtKB	O60674	GO:0030218	erythrocyte differentiation	P
UniProtKB	O60674	GO:0032496	response to lipopolysaccharide	P
UniProtKB	O60674	GO:0032729	positive regulation of type II interferon production	P
UniProtKB	O60674	GO:0032729	positive regulation of type II interferon production	P
UniProtKB	O60674	GO:0032731	positive regulation of interleukin-1 beta production	P
UniProtKB	O60674	GO:0032740	positive regulation of interleukin-17 production	P
UniProtKB	O60674	GO:0032760	positive regulation of tumor necrosis factor production	P
UniProtKB	O60674	GO:0032760	positive regulation of tumor necrosis factor production	P
UniProtKB	O60674	GO:0032819	positive regulation of natural killer cell proliferation	P
UniProtKB	O60674	GO:0033209	tumor necrosis factor-mediated signaling pathway	P
UniProtKB	O60674	GO:0034612	response to tumor necrosis factor	P
UniProtKB	O60674	GO:0035556	intracellular signal transduction	P
UniProtKB	O60674	GO:0035556	intracellular signal transduction	P
UniProtKB	O60674	GO:0035556	intracellular signal transduction	P
UniProtKB	O60674	GO:0035722	interleukin-12-mediated signaling pathway	P
UniProtKB	O60674	GO:0038043	interleukin-5-mediated signaling pathway	P
UniProtKB	O60674	GO:0038065	collagen-activated signaling pathway	P
UniProtKB	O60674	GO:0038156	interleukin-3-mediated signaling pathway	P
UniProtKB	O60674	GO:0038157	granulocyte-macrophage colony-stimulating factor signaling pathway	P
UniProtKB	O60674	GO:0042102	positive regulation of T cell proliferation	P
UniProtKB	O60674	GO:0042531	positive regulation of tyrosine phosphorylation of STAT protein	P
UniProtKB	O60674	GO:0042531	positive regulation of tyrosine phosphorylation of STAT protein	P
UniProtKB	O60674	GO:0042976	activation of Janus kinase activity	P
UniProtKB	O60674	GO:0042981	regulation of apoptotic process	P
UniProtKB	O60674	GO:0043392	negative regulation of DNA binding	P
UniProtKB	O60674	GO:0043687	post-translational protein modification	P
UniProtKB	O60674	GO:0045348	positive regulation of MHC class II biosynthetic process	P
UniProtKB	O60674	GO:0045428	regulation of nitric oxide biosynthetic process	P
UniProtKB	O60674	GO:0046425	regulation of receptor signaling pathway via JAK-STAT	P
UniProtKB	O60674	GO:0046427	positive regulation of receptor signaling pathway via JAK-STAT	P
UniProtKB	O60674	GO:0046427	positive regulation of receptor signaling pathway via JAK-STAT	P
UniProtKB	O60674	GO:0046777	protein autophosphorylation	P
UniProtKB	O60674	GO:0050727	regulation of inflammatory response	P
UniProtKB	O60674	GO:0051142	positive regulation of NK T cell proliferation	P
UniProtKB	O60674	GO:0051142	positive regulation of NK T cell proliferation	P
UniProtKB	O60674	GO:0051770	positive regulation of nitric-oxide synthase biosynthetic process	P
UniProtKB	O60674	GO:0051770	positive regulation of nitric-oxide synthase biosynthetic process	P
UniProtKB	O60674	GO:0051897	positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	P
UniProtKB	O60674	GO:0051897	positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	P
UniProtKB	O60674	GO:0060333	type II interferon-mediated signaling pathway	P
UniProtKB	O60674	GO:0060333	type II interferon-mediated signaling pathway	P
UniProtKB	O60674	GO:0060396	growth hormone receptor signaling pathway	P
UniProtKB	O60674	GO:0060397	growth hormone receptor signaling pathway via JAK-STAT	P
UniProtKB	O60674	GO:0060397	growth hormone receptor signaling pathway via JAK-STAT	P
UniProtKB	O60674	GO:0060397	growth hormone receptor signaling pathway via JAK-STAT	P
UniProtKB	O60674	GO:0060399	positive regulation of growth hormone receptor signaling pathway	P
UniProtKB	O60674	GO:0061180	mammary gland epithelium development	P
UniProtKB	O60674	GO:0070102	interleukin-6-mediated signaling pathway	P
UniProtKB	O60674	GO:0070665	positive regulation of leukocyte proliferation	P
UniProtKB	O60674	GO:0070671	response to interleukin-12	P
UniProtKB	O60674	GO:0070757	interleukin-35-mediated signaling pathway	P
UniProtKB	O60674	GO:0097191	extrinsic apoptotic signaling pathway	P
UniProtKB	O60674	GO:0097296	activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway	P
UniProtKB	O60674	GO:0098586	cellular response to virus	P
UniProtKB	O60674	GO:0120162	positive regulation of cold-induced thermogenesis	P
UniProtKB	O60674	GO:2000273	positive regulation of signaling receptor activity	P
UniProtKB	O60674	GO:2000318	positive regulation of T-helper 17 type immune response	P
UniProtKB	O75116	GO:0000281	mitotic cytokinesis	P
UniProtKB	O75116	GO:0001837	epithelial to mesenchymal transition	P
UniProtKB	O75116	GO:0001934	positive regulation of protein phosphorylation	P
UniProtKB	O75116	GO:0002931	response to ischemia	P
UniProtKB	O75116	GO:0003180	aortic valve morphogenesis	P
UniProtKB	O75116	GO:0006468	protein phosphorylation	P
UniProtKB	O75116	GO:0006939	smooth muscle contraction	P
UniProtKB	O75116	GO:0007249	canonical NF-kappaB signal transduction	P
UniProtKB	O75116	GO:0007266	Rho protein signal transduction	P
UniProtKB	O75116	GO:0010595	positive regulation of endothelial cell migration	P
UniProtKB	O75116	GO:0010613	positive regulation of cardiac muscle hypertrophy	P
UniProtKB	O75116	GO:0010628	positive regulation of gene expression	P
UniProtKB	O75116	GO:0010628	positive regulation of gene expression	P
UniProtKB	O75116	GO:0010628	positive regulation of gene expression	P
UniProtKB	O75116	GO:0010629	negative regulation of gene expression	P
UniProtKB	O75116	GO:0016525	negative regulation of angiogenesis	P
UniProtKB	O75116	GO:0030036	actin cytoskeleton organization	P
UniProtKB	O75116	GO:0030155	regulation of cell adhesion	P
UniProtKB	O75116	GO:0030335	positive regulation of cell migration	P
UniProtKB	O75116	GO:0030866	cortical actin cytoskeleton organization	P
UniProtKB	O75116	GO:0030866	cortical actin cytoskeleton organization	P
UniProtKB	O75116	GO:0030866	cortical actin cytoskeleton organization	P
UniProtKB	O75116	GO:0031032	actomyosin structure organization	P
