DrugBank_id,Uniprot_id,score
DB08811,O14764,0.64561564
DB00849,Q9UN88,0.9918439
DB01174,Q9UN88,0.98983175
DB01198,Q9UN88,0.9879898
DB01351,Q9UN88,0.99536514
DB01352,Q9UN88,0.85102713
DB01353,Q9UN88,0.9957679
DB01355,Q9UN88,0.9921773
DB01567,Q9UN88,0.99619615
DB06716,Q9UN88,0.90599394
DB08811,Q9UN88,0.656771
DB01174,P47869,0.99471295
DB06716,P47869,0.96821916
DB08811,P47869,0.7010938
DB00849,P18507,0.99401474
DB01174,P18507,0.9938375
DB01198,P18507,0.9954111
DB01351,P18507,0.9968672
DB01352,P18507,0.7060617
DB01353,P18507,0.9976245
DB01355,P18507,0.99027073
DB06716,P18507,0.9469579
DB08811,P18507,0.6415521
DB00849,Q99928,0.98188555
DB01174,Q99928,0.9651507
DB01198,Q99928,0.99498063
DB01351,Q99928,0.9782995
DB01353,Q99928,0.9773407
DB01355,Q99928,0.95787036
DB06716,Q99928,0.9295697
DB08811,Q99928,0.5965934
DB00849,P78334,0.99310243
DB01174,P78334,0.99440134
DB01198,P78334,0.99130666
DB01351,P78334,0.99416745
DB01352,P78334,0.81630373
DB01353,P78334,0.99739563
DB01355,P78334,0.99179745
DB06716,P78334,0.90524864
DB08811,P78334,0.64295423
DB00849,P18505,0.99386406
DB01174,P18505,0.99546415
DB01351,P18505,0.9964472
DB01352,P18505,0.8749174
DB01353,P18505,0.9963126
DB01355,P18505,0.9938534
DB06716,P18505,0.97213966
DB08811,P18505,0.66723186
DB00849,Q8N1C3,0.9955684
DB01174,Q8N1C3,0.9933981
DB01198,Q8N1C3,0.99488986
DB01351,Q8N1C3,0.99505186
DB01352,Q8N1C3,0.70150626
DB01353,Q8N1C3,0.9957247
DB01355,Q8N1C3,0.9906667
DB06716,Q8N1C3,0.9537226
DB08811,Q8N1C3,0.6446245
DB06716,P14867,0.97141254
DB08811,P14867,0.7082954
DB01223,Q08499,0.98625386
DB01303,Q08499,0.9292185
DB01113,Q08493,0.9877957
DB01223,Q08493,0.9837702
DB01303,Q08493,0.8795131
DB01223,Q07343,0.9820339
DB01303,Q07343,0.8881998
DB01113,P27815,0.9911911
DB01223,P27815,0.9859785
DB00235,Q13370,0.8062685
DB00651,Q13370,0.85803306
DB01166,Q13370,0.69932157
DB01223,Q13370,0.9575232
DB01303,Q13370,0.7822659
DB00277,O00408,0.98699665
DB00651,O00408,0.9002217
DB01113,O00408,0.9458666
DB01223,O00408,0.9598876
DB01303,O00408,0.68182623
DB01113,Q14432,0.9895689
DB00277,Q01064,0.88723624
DB00651,Q01064,0.5108808
DB01223,Q01064,0.6822206
DB00907,Q12809,0.8986327
DB00245,P08172,0.970335
DB00477,P08172,0.99269676
DB00670,P08172,0.9426511
DB00810,P08172,0.988208
DB00226,P25100,0.95940244
DB00334,P25100,0.9980399
DB00353,P25100,0.9885743
DB00450,P25100,0.90433466
DB00699,P25100,0.6366119
DB00852,P25100,0.9889959
DB01118,P25100,0.99811125
DB01149,P25100,0.9907076
DB01253,P25100,0.9878162
DB01608,P25100,0.9207357
DB06714,P25100,0.9762784
DB08954,P25100,0.9140768
DB00226,P35368,0.9645128
DB00353,P35368,0.9870173
DB00450,P35368,0.919912
DB00699,P35368,0.7282794
DB00852,P35368,0.9903738
DB01118,P35368,0.9996797
DB01253,P35368,0.9907317
DB06714,P35368,0.9741107
DB08954,P35368,0.9211732
DB00226,P35348,0.9747059
DB00353,P35348,0.99258983
DB01118,P35348,0.99837494
DB01608,P35348,0.9790782
DB06714,P35348,0.97285384
DB08954,P35348,0.9473168
DB01021,Q13621,0.98919916
DB00695,P55011,0.94781005
DB00903,P55011,0.8017705
DB02925,P55011,0.8817276
DB08810,P28221,0.90533894
DB09225,P28221,0.93653184
DB08810,P28222,0.9424947
DB09225,P28222,0.98232746
DB00226,P18089,0.96172
DB00353,P18089,0.99255735
DB00852,P18089,0.9915675
DB01253,P18089,0.99305314
DB06714,P18089,0.9656757
DB09242,P18089,0.97244203
DB00226,P18825,0.9749006
DB00353,P18825,0.98994577
DB00629,P18825,0.98757297
DB00852,P18825,0.9878343
DB01253,P18825,0.98732424
DB06714,P18825,0.97769594
DB09242,P18825,0.9588847
DB00226,P08913,0.97602624
DB00353,P08913,0.99349624
DB01253,P08913,0.9939044
DB06714,P08913,0.98107207
DB09220,Q09428,0.85521775
DB00245,P08912,0.9811555
DB00387,P08912,0.9948273
DB00392,P08912,0.99755716
DB00411,P08912,0.99405444
DB00424,P08912,0.9907633
DB00462,P08912,0.9919524
DB00477,P08912,0.99614733
DB00517,P08912,0.98757136
DB00670,P08912,0.95242035
DB00728,P08912,0.989203
DB00809,P08912,0.9836901
DB00810,P08912,0.9902452
DB01062,P08912,0.99102
DB01231,P08912,0.9988459
DB09300,P08912,0.9907549
DB00728,P11229,0.99203455
DB09300,P11229,0.99223757
DB00245,P08173,0.9831627
DB00392,P08173,0.99879694
DB00462,P08173,0.9903889
DB00477,P08173,0.9965781
DB00517,P08173,0.98265487
DB00670,P08173,0.95724285
DB00728,P08173,0.99389094
DB00810,P08173,0.9936283
DB01062,P08173,0.994499
DB01231,P08173,0.9988986
DB09300,P08173,0.99312484
DB01608,P14416,0.9732979
DB01608,P28223,0.95406723
DB09225,P08908,0.9958848
DB01608,P28335,0.84490097
DB04908,P28335,0.82763433
DB04946,P28335,0.9899963
DB08810,P28335,0.9619376
DB00334,P41595,0.9959885
DB00370,P41595,0.9943832
DB00656,P41595,0.98703766
DB01608,P41595,0.9081004
DB04908,P41595,0.7956928
DB04946,P41595,0.99494135
DB08810,P41595,0.9839433
DB01002,Q14524,0.9965102
DB01086,Q14524,0.9921586
DB01118,Q14524,0.99706185
DB00527,Q9UI33,0.7704438
DB01002,Q9UI33,0.89594305
DB01086,Q9UI33,0.9565938
DB01118,Q9UI33,0.9656844
DB01195,Q9UI33,0.90645045
DB01426,Q9UI33,0.58750165
DB01429,Q9UI33,0.6614758
DB01118,Q9Y5Y9,0.9772552
DB01195,Q9Y5Y9,0.95229894
DB01426,Q9Y5Y9,0.7061678
DB01429,Q9Y5Y9,0.795038
DB00527,Q9NY46,0.8315714
DB01002,Q9NY46,0.9108895
DB01086,Q9NY46,0.96729374
DB01118,Q9NY46,0.9635269
DB01195,Q9NY46,0.93287104
DB01426,Q9NY46,0.64748037
DB01429,Q9NY46,0.66920745
DB00527,Q99250,0.8451228
DB01002,Q99250,0.9172081
DB01086,Q99250,0.9681387
DB01118,Q99250,0.96596134
DB01195,Q99250,0.92903215
DB01426,Q99250,0.6347934
DB01429,Q99250,0.6754345
DB00527,P35499,0.720148
DB01086,P35499,0.94271076
DB01118,P35499,0.97530204
DB01426,P35499,0.6453892
DB01429,P35499,0.69488394
DB00527,P35498,0.84085196
DB01002,P35498,0.92113703
DB01086,P35498,0.9733715
DB01118,P35498,0.9664362
DB01195,P35498,0.9333601
DB01426,P35498,0.6399855
DB01429,P35498,0.6749965
DB00527,Q15858,0.81788987
DB01002,Q15858,0.89933664
DB01086,Q15858,0.9556694
DB01118,Q15858,0.9470536
DB01195,Q15858,0.8944489
DB01426,Q15858,0.55023515
DB01429,Q15858,0.5904868
DB00527,Q9UQD0,0.83326596
DB01002,Q9UQD0,0.91138583
DB01086,Q9UQD0,0.96543825
DB01118,Q9UQD0,0.9600339
DB01195,Q9UQD0,0.92340505
DB01426,Q9UQD0,0.6014432
DB01429,Q9UQD0,0.63719034
DB00882,Q92731,0.9621602
DB00890,Q92731,0.9968928
DB01357,Q92731,0.9906562
DB02187,Q92731,0.9901702
DB01623,P35462,0.96700954
DB00617,Q13936,0.80271035
DB00617,Q13698,0.76130986
DB12278,Q13698,0.8907347
DB00617,Q01668,0.76693106
DB12278,Q01668,0.8890796
DB00617,O60840,0.8343264
DB12278,O60840,0.9215372
DB00740,Q13003,0.5892123
DB00740,Q13002,0.62230575
DB00740,P39086,0.60789853
DB00740,P48058,0.64652336
DB00740,P42263,0.68732774
DB00740,P42262,0.7005626
DB00740,P42261,0.72279966
DB00740,Q16478,0.56505525
DB00740,Q16099,0.5835764
DB01204,Q02880,0.9559558
DB06013,Q02880,0.96325904
DB00277,O95263,0.95742095
DB00651,O95263,0.700833
DB01113,O95263,0.79761577
DB01223,O95263,0.83479774
DB00651,P29275,0.91907036
DB01223,P29275,0.9708904
DB00277,P54750,0.9288502
DB00651,P54750,0.5951753
DB01113,P54750,0.9439394
DB01223,P54750,0.7526933
DB00277,O60658,0.95688736
DB00651,O60658,0.7108267
DB01113,O60658,0.8057724
DB01223,O60658,0.84572124
DB00277,Q13946,0.96460056
DB00651,Q13946,0.62858635
DB01113,Q13946,0.79337204
DB01223,Q13946,0.7996385
DB00277,Q9HCR9,0.9678561
DB00651,Q9HCR9,0.7859365
DB01113,Q9HCR9,0.933699
DB01223,Q9HCR9,0.91223145
DB00277,Q9NP56,0.9432483
DB00651,Q9NP56,0.6251184
DB01113,Q9NP56,0.730231
DB01223,Q9NP56,0.78673154
DB00277,Q9Y233,0.988183
DB00651,Q9Y233,0.9281408
DB01223,Q9Y233,0.95938426
DB01303,Q9Y233,0.7739752
DB00277,Q14123,0.9385114
DB00651,Q14123,0.66561955
DB01113,Q14123,0.8499228
DB01223,Q14123,0.7550403
DB00429,P43088,0.93360245
DB00309,Q13509,0.9517242
DB00541,Q13509,0.9752041
DB00309,P68371,0.96307385
DB00541,P68371,0.98773223
DB00309,Q9BUF5,0.9430357
DB00541,Q9BUF5,0.9690893
DB00309,P07437,0.9624648
DB00541,Q9H4B7,0.9817523
DB00309,Q13885,0.95095265
DB00541,Q13885,0.9832821
DB00309,P04350,0.9588648
DB00541,P04350,0.984439
DB00703,P35218,0.9750124
DB00819,P35218,0.9786843
DB00869,P35218,0.9786394
DB01144,P35218,0.9650432
DB00703,Q9Y2D0,0.9757477
DB00819,Q9Y2D0,0.9780606
DB00869,Q9Y2D0,0.9660002
DB01144,Q9Y2D0,0.9634493
DB00869,P43166,0.98598766
DB00703,Q16790,0.90863734
DB00819,Q16790,0.95176584
DB00869,Q16790,0.9005941
DB01144,Q16790,0.8985942
DB00703,O43570,0.96575177
DB00869,O43570,0.9464303
DB00313,P80404,0.77342117
DB00313,Q99259,0.5425341
DB00313,Q05329,0.5511059
DB00313,Q9P0X4,0.86075866
DB00313,O95180,0.7965728
DB00313,O43497,0.809159
DB14006,P35354,0.9448617
DB14006,P23219,0.9600341
DB00914,P54646,0.8150854
DB00740,Q12879,0.75176847
DB00514,Q05586,0.90367985
DB00740,Q05586,0.7542232
DB00514,O15399,0.95711136
DB00740,O15399,0.708587
DB00514,Q13224,0.93603677
DB00740,Q13224,0.7702509
DB00514,Q14957,0.930923
DB00740,Q14957,0.6485497
DB01118,Q14654,0.92887515
DB01244,Q14654,0.68208325
DB00363,Q8WXA8,0.9098099
DB00370,Q8WXA8,0.52554554
DB00377,Q8WXA8,0.545659
DB00904,Q8WXA8,0.63947386
DB00969,Q8WXA8,0.5488211
DB04885,Q8WXA8,0.6485187
DB00363,A5X5Y0,0.94999236
DB00370,A5X5Y0,0.611278
DB00377,A5X5Y0,0.5902269
DB00904,A5X5Y0,0.68318933
DB00969,A5X5Y0,0.6364657
DB04885,A5X5Y0,0.69511384
DB09068,A5X5Y0,0.55713415
DB00363,O95264,0.98318607
DB00370,O95264,0.72629774
DB00377,O95264,0.72416836
DB00889,O95264,0.7283447
DB00904,O95264,0.7919058
DB00969,O95264,0.7381462
DB09068,O95264,0.7234375
DB00370,P46098,0.9591645
DB00363,Q70Z44,0.9602418
DB00370,Q70Z44,0.6150473
DB00377,Q70Z44,0.55373394
DB00904,Q70Z44,0.6364487
DB00969,Q70Z44,0.62046564
DB04885,Q70Z44,0.6396643
DB09068,Q70Z44,0.6968352
DB00852,P13945,0.98860455
DB01214,P13945,0.95221436
DB01359,P13945,0.9834962
DB09013,P13945,0.9665917
DB01092,Q13733,0.95238197
DB01158,Q13733,0.7630289
DB01244,Q13733,0.7994927
DB01158,P13637,0.8115581
DB01244,P13637,0.8477122
DB01158,P50993,0.7971266
DB01244,P50993,0.8286694
DB04868,P09619,0.9024029
DB01169,P10276,0.52725184
DB00480,P01375,0.9554491
DB01041,P01375,0.89852417
DB00563,Q86XF0,0.9018985
DB00642,Q86XF0,0.8928299
DB01157,Q86XF0,0.839221
DB06813,Q86XF0,0.90646374
DB04868,P16234,0.94654304
DB00648,P05093,0.6959462
DB00755,P29590,0.5818853
DB08964,P34995,0.98457736
DB00928,Q9UBC3,0.72261274
DB00996,P30531,0.52314836
DB01118,P51787,0.86489725
DB01118,Q15842,0.889145
DB01244,Q15842,0.6563773
DB01118,P48544,0.8510922
DB01244,P48544,0.5588616
DB04855,P48544,0.9828188
DB01118,Q14500,0.9250625
DB01244,Q14500,0.6457474
DB01118,Q9UK17,0.7648228
DB01244,Q9UK17,0.88928956
DB01118,P48549,0.91210043
DB01244,P48549,0.69003636
DB01244,P22460,0.6712035
DB01612,P33402,0.57306397
DB03880,P08253,0.92280483
DB03880,P14780,0.8718964
DB08810,P28566,0.95166224
DB09225,P28566,0.9747275
DB08810,P30939,0.86383027
DB09225,P30939,0.95630896
DB08875,P30530,0.9114723
DB12548,P30556,0.9648245
DB04839,P04150,0.98374367
DB01440,Q9UBS5,0.5828219
DB01579,Q01959,0.9942379
DB04889,Q01959,0.986828
DB00217,P23975,0.97267264
DB00397,P23975,0.9890512
DB00865,P23975,0.9989623
DB01158,P23975,0.9340957
DB00474,P47870,0.97281253
DB00599,P47870,0.97519493
DB04903,P47870,0.9715112
DB06470,P47870,0.9343337
DB06579,P47870,0.9870467
DB00474,P18507,0.96254957
DB00599,P18507,0.977553
DB00962,P18507,0.892944
DB04903,P18507,0.9696089
DB06470,P18507,0.9328658
DB00474,P34903,0.9956252
DB00659,P34903,0.5241849
DB06470,P34903,0.92741334
DB00474,P28472,0.9714549
DB00599,P28472,0.97925615
DB04903,P28472,0.96325386
DB06470,P28472,0.93772393
DB06579,P28472,0.9825476
DB00474,P48169,0.9967782
DB00659,P48169,0.5688311
DB04903,P48169,0.9636636
DB06470,P48169,0.922729
DB06579,P48169,0.98059034
DB00474,Q99928,0.81209767
DB00599,Q99928,0.90563774
DB04903,Q99928,0.96983624
DB06470,Q99928,0.91858894
DB00474,Q9UN88,0.968088
DB00599,Q9UN88,0.95140076
DB04903,Q9UN88,0.92677057
DB06470,Q9UN88,0.91463757
DB06579,Q9UN88,0.96674013
DB00659,P14867,0.55891836
DB04903,P14867,0.9846841
DB00474,O00591,0.971426
DB00599,O00591,0.95065117
DB04903,O00591,0.93319243
DB06470,O00591,0.90457886
DB06579,O00591,0.9676033
DB00425,P18505,0.94539404
DB00474,P18505,0.9768364
DB00599,P18505,0.9786593
DB00962,P18505,0.9060853
DB04903,P18505,0.97463953
DB06470,P18505,0.93588275
DB06579,P18505,0.98388845
DB00474,Q8N1C3,0.96436393
DB00599,Q8N1C3,0.97620857
DB04903,Q8N1C3,0.97378445
DB06470,Q8N1C3,0.93258774
DB00474,O14764,0.98533297
DB00599,O14764,0.9741329
DB00659,O14764,0.52880204
DB04903,O14764,0.94659454
DB06470,O14764,0.9162238
DB06579,O14764,0.9691404
DB00474,P78334,0.9671942
DB00599,P78334,0.9666818
DB04903,P78334,0.9532299
DB06470,P78334,0.89947367
DB06579,P78334,0.97883004
DB00474,P47869,0.9926966
DB00659,P47869,0.5171152
DB06470,P47869,0.9307148
DB00474,P31644,0.9949583
DB00659,P31644,0.5105096
DB04903,P31644,0.9731635
DB06470,P31644,0.92475855
DB00474,Q16445,0.9930768
DB00659,Q16445,0.5126407
DB04903,Q16445,0.9705531
DB06470,Q16445,0.9247465
DB06579,Q16445,0.98396254
DB00187,P07550,0.98494375
DB00988,P08588,0.9995295
DB00188,P40306,0.8127535
DB00188,P49721,0.6564721
DB00188,P28062,0.82547
DB00188,P28065,0.7957229
DB08889,P25788,0.6474959
DB01250,P37231,0.9489954
DB00277,P0DMS8,0.98213494
DB00806,P29275,0.9311544
DB00202,P02708,0.9679901
DB00728,P02708,0.78220767
DB01135,P02708,0.8029377
DB01199,P02708,0.8361664
DB01226,P02708,0.7461219
DB01245,P02708,0.8769016
DB01336,P02708,0.86768734
DB01337,P02708,0.8179668
DB01338,P02708,0.8016322
DB01339,P02708,0.8016428
DB04834,P02708,0.7608849
DB00806,O76074,0.8809597
DB05266,O76074,0.7296326
DB06637,Q12809,0.92250174
DB11640,Q12809,0.8465236
DB00219,P20309,0.9959424
DB00782,P20309,0.9999114
DB00979,P20309,0.99517614
DB00782,P08172,0.99801445
DB00610,P35368,0.9934994
DB00797,P35368,0.9967619
DB00610,P25100,0.9868978
DB00726,P25100,0.9967629
DB00797,P25100,0.9927596
DB00397,P35348,0.989627
DB16690,P51164,0.9609207
DB16690,P20648,0.9827493
DB00918,P30939,0.9792987
DB01191,P30939,0.910124
DB06288,P30939,0.8912196
DB01191,P28222,0.9811428
DB06288,P28222,0.9780995
DB01191,P28221,0.9637275
DB06288,P28221,0.96127844
DB01625,P11229,0.992188
DB13720,P11229,0.9943924
DB00414,Q14654,0.9592121
DB01067,Q14654,0.74928015
DB00228,O95069,0.7009615
DB00753,O95069,0.54555947
DB01159,O95069,0.9104082
DB01189,O95069,0.6165384
DB01236,O95069,0.6769353
DB00228,O14649,0.57524264
DB01236,O14649,0.5879
DB00228,Q9NPC2,0.6343084
DB01189,Q9NPC2,0.529508
DB01236,Q9NPC2,0.62961113
DB00228,P48167,0.9887241
DB00753,P48167,0.9772991
DB01028,P48167,0.98300946
DB01159,P48167,0.98383504
DB01189,P48167,0.9828064
DB01236,P48167,0.98717624
DB00996,Q06432,0.6961272
DB01244,Q06432,0.5944332
DB00996,Q9BXT2,0.5471787
DB00996,O60359,0.5511864
DB00996,Q8WXS5,0.53245157
DB01244,Q8WXS5,0.52966964
DB00996,Q9UBN1,0.5672344
DB00996,Q9Y698,0.53195345
DB00996,P62955,0.52494395
DB00996,P54284,0.6295063
DB01244,P54284,0.7887353
DB00996,Q02641,0.67030925
DB01244,Q02641,0.80787694
DB00996,Q08289,0.6921861
DB01244,Q08289,0.81504786
DB00996,O00305,0.6904021
DB01244,O00305,0.8043812
DB00996,Q9UF02,0.55483526
DB00528,O60840,0.71731204
DB00996,O60840,0.858641
DB08872,O60840,0.5428642
DB09227,O60840,0.9952445
DB09237,O60840,0.99899215
DB00347,O95180,0.9588232
DB00617,O95180,0.9369973
DB00996,O95180,0.7807729
DB01244,P54289,0.67654264
DB00528,Q13936,0.6926886
DB00996,Q13936,0.8696784
DB08872,Q13936,0.5403188
DB00996,Q15878,0.89303577
DB01244,Q15878,0.9600934
DB08872,Q15878,0.52020633
DB00528,Q13698,0.64375067
DB00996,Q13698,0.8490577
DB08872,Q13698,0.52507365
DB09227,Q13698,0.9942749
DB09237,Q13698,0.99543154
DB00996,O00555,0.9415183
DB08872,O00555,0.6521925
DB01244,Q00975,0.9713663
DB08872,Q00975,0.65511304
DB00617,O43497,0.93968725
DB00996,O43497,0.79514897
DB01244,Q7Z3S7,0.58569396
DB00347,Q9P0X4,0.9471294
DB00996,Q9P0X4,0.8382219
DB00528,Q01668,0.6594285
DB00996,Q01668,0.8250042
DB09227,Q01668,0.99376994
DB00606,P55017,0.9734417
DB00806,Q14432,0.96634275
DB00975,Q14432,0.82913953
DB00296,P35499,0.88578594
DB00297,P35499,0.8960617
DB00379,P35499,0.7916622
DB00645,P35499,0.9140943
DB00680,P35499,0.583248
DB00740,P35499,0.83419913
DB00754,P35499,0.77886677
DB00794,P35499,0.83952487
DB01035,P35499,0.6352199
DB01121,P35499,0.9292213
DB01173,P35499,0.9319183
DB01438,P35499,0.92773235
DB04855,P35499,0.96935904
DB06218,P35499,0.9707182
DB14575,P35499,0.849995
DB00296,Q14524,0.9950954
DB00645,Q14524,0.9807008
DB00794,Q14524,0.9271582
DB01121,Q14524,0.9668978
DB01173,Q14524,0.97603095
DB01438,Q14524,0.9633687
DB06218,Q14524,0.9945795
DB14575,Q14524,0.92193377
DB01250,P09917,0.9818018
DB03585,P23219,0.9839613
DB08951,P23219,0.94676465
DB13167,P23219,0.97409564
DB03585,P35354,0.98649377
DB04817,P35354,0.99150145
DB08951,P35354,0.9572045
DB00767,P14416,0.98337126
DB04836,P14416,0.95942515
DB00450,P28223,0.9695609
DB00831,P28223,0.9928091
DB01038,P28223,0.99158204
DB01100,P28223,0.92497647
DB01191,P28223,0.9902757
DB00340,P28335,0.93505746
DB00679,P28335,0.9225248
DB00831,P28335,0.97912264
DB01038,P28335,0.9675725
DB06288,P28335,0.98593473
DB01191,P41595,0.9857443
DB06288,P41595,0.98898613
DB01191,P08908,0.99701136
DB06288,P08908,0.99921
DB00379,Q9Y5Y9,0.85310566
DB00680,Q9Y5Y9,0.8111676
DB00740,Q9Y5Y9,0.85227644
DB00754,Q9Y5Y9,0.87646025
DB00794,Q9Y5Y9,0.85325307
DB01035,Q9Y5Y9,0.8478163
DB01121,Q9Y5Y9,0.94072133
DB01438,Q9Y5Y9,0.95366126
DB04855,Q9Y5Y9,0.98200625
DB14575,Q9Y5Y9,0.8810514
DB00296,Q9UQD0,0.8996903
DB00379,Q9UQD0,0.75357634
DB00645,Q9UQD0,0.8806559
DB00680,Q9UQD0,0.65182936
DB00740,Q9UQD0,0.80092394
DB00754,Q9UQD0,0.7882196
DB00794,Q9UQD0,0.80233383
DB01035,Q9UQD0,0.6878297
DB01121,Q9UQD0,0.9326986
DB01173,Q9UQD0,0.8930996
DB01438,Q9UQD0,0.94571143
DB04855,Q9UQD0,0.9569001
DB06218,Q9UQD0,0.98071706
DB14575,Q9UQD0,0.8611094
DB00296,Q9UI33,0.8863762
DB00379,Q9UI33,0.74851096
DB00645,Q9UI33,0.8888377
DB00680,Q9UI33,0.6216085
DB00740,Q9UI33,0.7829455
DB00754,Q9UI33,0.7759057
DB00794,Q9UI33,0.78648037
DB01035,Q9UI33,0.65456986
DB01121,Q9UI33,0.8939704
DB01173,Q9UI33,0.9064747
DB01438,Q9UI33,0.90567034
DB04855,Q9UI33,0.973534
DB06218,Q9UI33,0.9569167
DB14575,Q9UI33,0.8472479
DB00252,Q01118,0.98143446
DB00280,Q01118,0.8382441
DB00281,Q01118,0.93116456
DB00296,Q01118,0.8316286
DB00379,Q01118,0.6817063
DB00532,Q01118,0.8385316
DB00645,Q01118,0.865651
DB00680,Q01118,0.5445441
DB00721,Q01118,0.98664427
DB00740,Q01118,0.7504305
DB00750,Q01118,0.6007432
DB00754,Q01118,0.7163818
DB00794,Q01118,0.7602529
DB00807,Q01118,0.93159074
DB00892,Q01118,0.9402469
DB00908,Q01118,0.7224215
DB00909,Q01118,0.9880729
DB00961,Q01118,0.8223335
DB01035,Q01118,0.5796341
DB01056,Q01118,0.6779338
DB01121,Q01118,0.87722504
DB01173,Q01118,0.87345934
DB01182,Q01118,0.50280845
DB01228,Q01118,0.53940225
DB01320,Q01118,0.7375227
DB01438,Q01118,0.9024814
DB04855,Q01118,0.96821797
DB06201,Q01118,0.874473
DB06218,Q01118,0.9440894
DB09119,Q01118,0.964887
DB14575,Q01118,0.843061
DB00296,Q15858,0.88950413
DB00379,Q15858,0.71659386
DB00645,Q15858,0.8541498
DB00680,Q15858,0.6358091
DB00740,Q15858,0.76578104
DB00754,Q15858,0.7645317
DB00794,Q15858,0.7737205
DB01035,Q15858,0.6693718
DB01121,Q15858,0.9170844
DB01173,Q15858,0.87190074
DB01438,Q15858,0.94265234
DB04855,Q15858,0.9242123
DB14575,Q15858,0.84239113
DB00296,Q99250,0.9118415
DB00379,Q99250,0.7887351
DB00645,Q99250,0.895218
DB00680,Q99250,0.67405784
DB00740,Q99250,0.79009384
DB00754,Q99250,0.8180525
DB00794,Q99250,0.8325796
DB01035,Q99250,0.6677528
DB01121,Q99250,0.94339573
DB01173,Q99250,0.91165066
DB01438,Q99250,0.95509565
DB04855,Q99250,0.95666504
DB06218,Q99250,0.9818114
DB14575,Q99250,0.8638569
DB00296,P35498,0.9136437
DB00379,P35498,0.79587597
DB00645,P35498,0.90157574
DB00680,P35498,0.6802483
DB00740,P35498,0.7952398
DB00754,P35498,0.83047646
DB00794,P35498,0.8362439
DB01035,P35498,0.6737312
DB01173,P35498,0.9163787
DB04855,P35498,0.963439
DB06218,P35498,0.9834483
DB14575,P35498,0.86621636
DB00296,Q9NY46,0.9087097
DB00379,Q9NY46,0.7832839
DB00645,Q9NY46,0.8963712
DB00680,Q9NY46,0.6710795
DB00740,Q9NY46,0.8049971
DB00754,Q9NY46,0.8327915
DB00794,Q9NY46,0.83795375
DB01035,Q9NY46,0.6685642
DB01121,Q9NY46,0.9443186
DB01173,Q9NY46,0.91319525
DB01438,Q9NY46,0.9546339
DB04855,Q9NY46,0.95243275
DB14575,Q9NY46,0.8658514
DB00806,Q13370,0.9175
