GENE PRODUCT DB	GENE PRODUCT ID	GO TERM	GO NAME	GO ASPECT
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0005515	protein binding	F
UniProtKB	O00444	GO:0042802	identical protein binding	F
UniProtKB	O00444	GO:0042802	identical protein binding	F
UniProtKB	O00444	GO:0042802	identical protein binding	F
UniProtKB	O00444	GO:0042802	identical protein binding	F
UniProtKB	O00506	GO:0004672	protein kinase activity	F
UniProtKB	O00506	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O00506	GO:0005515	protein binding	F
UniProtKB	O00506	GO:0005515	protein binding	F
UniProtKB	O00506	GO:0005515	protein binding	F
UniProtKB	O00506	GO:0005515	protein binding	F
UniProtKB	O00506	GO:0005515	protein binding	F
UniProtKB	O00506	GO:0005515	protein binding	F
UniProtKB	O00506	GO:0005515	protein binding	F
UniProtKB	O00506	GO:0005515	protein binding	F
UniProtKB	O00506	GO:0005515	protein binding	F
UniProtKB	O00506	GO:0005515	protein binding	F
UniProtKB	O00506	GO:0005515	protein binding	F
UniProtKB	O00506	GO:0005515	protein binding	F
UniProtKB	O00506	GO:0005515	protein binding	F
UniProtKB	O00506	GO:0005515	protein binding	F
UniProtKB	O00506	GO:0005515	protein binding	F
UniProtKB	O00506	GO:0005515	protein binding	F
UniProtKB	O00506	GO:0005515	protein binding	F
UniProtKB	O00506	GO:0005515	protein binding	F
UniProtKB	O00506	GO:0005515	protein binding	F
UniProtKB	O00506	GO:0005515	protein binding	F
UniProtKB	O00506	GO:0005515	protein binding	F
UniProtKB	O00506	GO:0005515	protein binding	F
UniProtKB	O00506	GO:0005515	protein binding	F
UniProtKB	O00506	GO:0005515	protein binding	F
UniProtKB	O00506	GO:0005515	protein binding	F
UniProtKB	O00506	GO:0005515	protein binding	F
UniProtKB	O00506	GO:0005515	protein binding	F
UniProtKB	O00506	GO:0005515	protein binding	F
UniProtKB	O00506	GO:0005515	protein binding	F
UniProtKB	O00506	GO:0005515	protein binding	F
UniProtKB	O00506	GO:0005515	protein binding	F
UniProtKB	O00506	GO:0005515	protein binding	F
UniProtKB	O00506	GO:0005515	protein binding	F
UniProtKB	O00506	GO:0005515	protein binding	F
UniProtKB	O00506	GO:0005515	protein binding	F
UniProtKB	O00506	GO:0005515	protein binding	F
UniProtKB	O00506	GO:0005515	protein binding	F
UniProtKB	O00506	GO:0042803	protein homodimerization activity	F
UniProtKB	O00750	GO:0005515	protein binding	F
UniProtKB	O00750	GO:0005515	protein binding	F
UniProtKB	O00750	GO:0005515	protein binding	F
UniProtKB	O00750	GO:0005515	protein binding	F
UniProtKB	O00750	GO:0005515	protein binding	F
UniProtKB	O00750	GO:0005515	protein binding	F
UniProtKB	O00750	GO:0005515	protein binding	F
UniProtKB	O00750	GO:0005515	protein binding	F
UniProtKB	O00750	GO:0005515	protein binding	F
UniProtKB	O00750	GO:0005515	protein binding	F
UniProtKB	O00750	GO:0005515	protein binding	F
UniProtKB	O00750	GO:0005515	protein binding	F
UniProtKB	O00750	GO:0005515	protein binding	F
UniProtKB	O00750	GO:0005515	protein binding	F
UniProtKB	O00750	GO:0005515	protein binding	F
UniProtKB	O00750	GO:0005515	protein binding	F
UniProtKB	O00750	GO:0016303	1-phosphatidylinositol-3-kinase activity	F
UniProtKB	O00750	GO:0016303	1-phosphatidylinositol-3-kinase activity	F
UniProtKB	O00750	GO:0016303	1-phosphatidylinositol-3-kinase activity	F
UniProtKB	O00750	GO:0016303	1-phosphatidylinositol-3-kinase activity	F
UniProtKB	O00750	GO:0035005	1-phosphatidylinositol-4-phosphate 3-kinase activity	F
UniProtKB	O00750	GO:0035005	1-phosphatidylinositol-4-phosphate 3-kinase activity	F
UniProtKB	O00750	GO:0035005	1-phosphatidylinositol-4-phosphate 3-kinase activity	F
UniProtKB	O00750	GO:0035005	1-phosphatidylinositol-4-phosphate 3-kinase activity	F
UniProtKB	O14578	GO:0001223	transcription coactivator binding	F
UniProtKB	O14578	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O14578	GO:0005515	protein binding	F
UniProtKB	O14578	GO:0019901	protein kinase binding	F
UniProtKB	O14578	GO:0030165	PDZ domain binding	F
UniProtKB	O14578	GO:0030291	protein serine/threonine kinase inhibitor activity	F
UniProtKB	O14578	GO:0097110	scaffold protein binding	F
UniProtKB	O14730	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O14730	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O14730	GO:0005515	protein binding	F
UniProtKB	O14730	GO:0005515	protein binding	F
UniProtKB	O14730	GO:0005515	protein binding	F
UniProtKB	O14730	GO:0005515	protein binding	F
UniProtKB	O14730	GO:0005515	protein binding	F
UniProtKB	O14730	GO:0005515	protein binding	F
UniProtKB	O14730	GO:0089720	caspase binding	F
UniProtKB	O14733	GO:0000287	magnesium ion binding	F
UniProtKB	O14733	GO:0004708	MAP kinase kinase activity	F
UniProtKB	O14733	GO:0005515	protein binding	F
UniProtKB	O14733	GO:0005515	protein binding	F
UniProtKB	O14733	GO:0005515	protein binding	F
UniProtKB	O14733	GO:0005515	protein binding	F
UniProtKB	O14733	GO:0005515	protein binding	F
UniProtKB	O14733	GO:0005515	protein binding	F
UniProtKB	O14733	GO:0005515	protein binding	F
UniProtKB	O14733	GO:0005515	protein binding	F
UniProtKB	O14733	GO:0005515	protein binding	F
UniProtKB	O14733	GO:0005515	protein binding	F
UniProtKB	O14733	GO:0005515	protein binding	F
UniProtKB	O14733	GO:0005515	protein binding	F
UniProtKB	O14733	GO:0008545	JUN kinase kinase activity	F
UniProtKB	O14733	GO:0008545	JUN kinase kinase activity	F
UniProtKB	O14733	GO:0008545	JUN kinase kinase activity	F
UniProtKB	O14733	GO:0019899	enzyme binding	F
UniProtKB	O14733	GO:0019901	protein kinase binding	F
UniProtKB	O14733	GO:0019903	protein phosphatase binding	F
UniProtKB	O14733	GO:0140677	molecular function activator activity	F
UniProtKB	O14757	GO:0004672	protein kinase activity	F
UniProtKB	O14757	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O14757	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O14757	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O14757	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O14757	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O14757	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O14757	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O14757	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O14757	GO:0005515	protein binding	F
UniProtKB	O14757	GO:0005515	protein binding	F
UniProtKB	O14757	GO:0005515	protein binding	F
UniProtKB	O14757	GO:0005515	protein binding	F
UniProtKB	O14757	GO:0005515	protein binding	F
UniProtKB	O14757	GO:0005515	protein binding	F
UniProtKB	O14757	GO:0005515	protein binding	F
UniProtKB	O14757	GO:0005515	protein binding	F
UniProtKB	O14757	GO:0005515	protein binding	F
UniProtKB	O14757	GO:0005515	protein binding	F
UniProtKB	O14757	GO:0005515	protein binding	F
UniProtKB	O14757	GO:0005515	protein binding	F
UniProtKB	O14757	GO:0005515	protein binding	F
UniProtKB	O14757	GO:0005515	protein binding	F
UniProtKB	O14757	GO:0005515	protein binding	F
UniProtKB	O14757	GO:0005515	protein binding	F
UniProtKB	O14757	GO:0005515	protein binding	F
UniProtKB	O14757	GO:0019904	protein domain specific binding	F
UniProtKB	O14757	GO:0035402	histone H3T11 kinase activity	F
UniProtKB	O14757	GO:0035402	histone H3T11 kinase activity	F
UniProtKB	O14920	GO:0004672	protein kinase activity	F
UniProtKB	O14920	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O14920	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O14920	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O14920	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O14920	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O14920	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O14920	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O14920	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O14920	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O14920	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O14920	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O14920	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O14920	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O14920	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O14920	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0005515	protein binding	F
UniProtKB	O14920	GO:0008384	IkappaB kinase activity	F
UniProtKB	O14920	GO:0008384	IkappaB kinase activity	F
UniProtKB	O14920	GO:0008384	IkappaB kinase activity	F
UniProtKB	O14920	GO:0008384	IkappaB kinase activity	F
UniProtKB	O14920	GO:0008384	IkappaB kinase activity	F
UniProtKB	O14920	GO:0019901	protein kinase binding	F
UniProtKB	O14920	GO:0042802	identical protein binding	F
UniProtKB	O14920	GO:0042802	identical protein binding	F
UniProtKB	O14920	GO:0042802	identical protein binding	F
UniProtKB	O14920	GO:0042803	protein homodimerization activity	F
UniProtKB	O14920	GO:0046982	protein heterodimerization activity	F
UniProtKB	O14920	GO:0097110	scaffold protein binding	F
UniProtKB	O14920	GO:1990459	transferrin receptor binding	F
UniProtKB	O14936	GO:0004385	guanylate kinase activity	F
UniProtKB	O14936	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O14936	GO:0005102	signaling receptor binding	F
UniProtKB	O14936	GO:0005515	protein binding	F
UniProtKB	O14936	GO:0005515	protein binding	F
UniProtKB	O14936	GO:0005515	protein binding	F
UniProtKB	O14936	GO:0005515	protein binding	F
UniProtKB	O14936	GO:0005515	protein binding	F
UniProtKB	O14936	GO:0005515	protein binding	F
UniProtKB	O14936	GO:0005515	protein binding	F
UniProtKB	O14936	GO:0005515	protein binding	F
UniProtKB	O14936	GO:0005515	protein binding	F
UniProtKB	O14936	GO:0005515	protein binding	F
UniProtKB	O14936	GO:0005515	protein binding	F
UniProtKB	O14936	GO:0005515	protein binding	F
UniProtKB	O14936	GO:0005515	protein binding	F
UniProtKB	O14936	GO:0005515	protein binding	F
UniProtKB	O14936	GO:0005515	protein binding	F
UniProtKB	O14936	GO:0005515	protein binding	F
UniProtKB	O14936	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0004672	protein kinase activity	F
UniProtKB	O14965	GO:0004672	protein kinase activity	F
UniProtKB	O14965	GO:0004672	protein kinase activity	F
UniProtKB	O14965	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O14965	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O14965	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O14965	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O14965	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O14965	GO:0004712	protein serine/threonine/tyrosine kinase activity	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0005515	protein binding	F
UniProtKB	O14965	GO:0019901	protein kinase binding	F
UniProtKB	O14965	GO:0046982	protein heterodimerization activity	F
UniProtKB	O14965	GO:0140677	molecular function activator activity	F
UniProtKB	O14976	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O14976	GO:0005515	protein binding	F
UniProtKB	O14976	GO:0005515	protein binding	F
UniProtKB	O14976	GO:0005515	protein binding	F
UniProtKB	O14976	GO:0005515	protein binding	F
UniProtKB	O14976	GO:0005515	protein binding	F
UniProtKB	O14976	GO:0005515	protein binding	F
UniProtKB	O14976	GO:0005515	protein binding	F
UniProtKB	O14976	GO:0030276	clathrin binding	F
UniProtKB	O14976	GO:0030332	cyclin binding	F
UniProtKB	O14976	GO:0051087	protein-folding chaperone binding	F
UniProtKB	O15075	GO:0004672	protein kinase activity	F
UniProtKB	O15075	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0004672	protein kinase activity	F
UniProtKB	O15111	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O15111	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
UniProtKB	O15111	GO:0005515	protein binding	F
